"invoiceno","stockcode","description","quantity","invoicedate","unitprice","customerid","country"
"573585","90024B",brown bread,"24","10/31/2011 14:41","0.67","12738.0",Switzerland
"573585","23508",brown bread,"1","10/31/2011 14:41","2.8","14280.0",United Kingdom
"573585","23508",brown bread,"15","10/31/2011 14:41","0.5","17258.0",United Kingdom
"573585","90024B",brown bread,"3","10/31/2011 14:41","2.82","17983.0",France
"573585","23503",brown bread,"2","10/31/2011 14:41","2.04","14835.0",United Kingdom
"573585","23508",brown bread,"1","10/31/2011 14:41","8.8","17210.0",United Kingdom
"573585","84531A",brown bread,"9","10/31/2011 14:41","2.13","14862.0",United Kingdom
"572887","84531A",brown bread,"3","10/31/2011 14:41","1.92","17671.0",United Kingdom
"545064","23503",brown bread,"2","10/31/2011 14:41","0.74","15136.0",United Kingdom
"573585","90024B",brown bread,"53","10/31/2011 14:41","2.02","14806.0",Channel Islands
"573585","23503",brown bread,"22","10/31/2011 14:41","1.01","14982.0",United Kingdom
"573585","90024B",brown bread,"23","10/31/2011 14:41","0.47","17229.0",United Kingdom
"573585","23503",brown bread,"1","10/31/2011 14:41","4.83","",United Kingdom
"574069","23015",brown bread,"1","10/31/2011 14:41","7.04","17904.0",United Kingdom
"573585","17109D",brown bread,"7","10/31/2011 14:41","0.83","14981.0",United Kingdom
"573585","20678",brown bread,"6","10/31/2011 14:41","1.74","12764.0",United Kingdom
"546036","90024B",brown bread,"5","10/31/2011 14:41","1.59","",United Kingdom
"573930","84531A",brown bread,"26","10/31/2011 14:41","1.37","12436.0",Germany
"573585","23508",brown bread,"7","10/31/2011 14:41","2.68","16140.0",United Kingdom
"573585","90024B",brown bread,"1","10/31/2011 14:41","8.93","17047.0",United Kingdom
"573585","23503",brown bread,"1","10/31/2011 14:41","4.0","17372.0",United Kingdom
"547005","84997D",brown bread,"2","10/31/2011 15:01","2.95","13115.0",United Kingdom
"573870","71459",brown bread,"5","10/31/2011 15:24","2.17","15009.0",United Kingdom
"542812","23498",brown bread,"1","10/31/2011 8:56","1.36","17278.0",United Kingdom
"569841","23503",brown bread,"2","10/3/2011 10:15","3.7","15292.0",United Kingdom
"570593","71459",brown bread,"11","10/3/2011 9:30","2.19","14204.0",United Kingdom
"567856","90024B",brown bread,"7","10/4/2011 12:38","2.99","15029.0",United Kingdom
"566035","23015",brown bread,"7","10/4/2011 15:19","3.77","13377.0",United Kingdom
"564092","17109D",brown bread,"8","10/4/2011 15:45","1.99","17720.0",United Kingdom
"569231","23508",brown bread,"0","10/4/2011 15:45","3.44","",United Kingdom
"572232","23508",brown bread,"5","10/5/2011 10:11","2.65","14139.0",United Kingdom
"581493","23576",brown bread,"12","10/5/2011 10:11","1.48","",United Kingdom
"541206","23015",brown bread,"1","10/5/2011 10:11","6.97","12582.0",Germany
"580310","71459",brown bread,"9","10/5/2011 10:11","2.56","14869.0",United Kingdom
"580635","23503",brown bread,"1","10/5/2011 11:06","2.63","14660.0",United Kingdom
"570103","23015",brown bread,"1","10/5/2011 12:13","2.56","",United Kingdom
"569546","20678",brown bread,"2","10/6/2011 10:52","2.99","17578.0",United Kingdom
"569089","23484",brown bread,"2","10/6/2011 11:42","2.19","14778.0",United Kingdom
"569221","23015",brown bread,"8","10/6/2011 9:11","4.42","16357.0",United Kingdom
"564144","90024B",brown bread,"2","10/7/2011 12:18","6.48","14868.0",United Kingdom
"569020","23503",brown bread,"10","10/7/2011 13:57","2.44","15293.0",United Kingdom
"569865","23015",brown bread,"2","10/7/2011 13:57","2.03","",United Kingdom
"580893","84531A",brown bread,"7","10/7/2011 14:43","2.19","17531.0",United Kingdom
"563584","23015",brown bread,"2","10/7/2011 9:44","1.45","18064.0",United Kingdom
"569570","90024B",brown bread,"1","10/9/2011 10:48","3.79","",United Kingdom
"569558","23015",brown bread,"8","10/9/2011 11:15","0.95","17064.0",United Kingdom
"545657","71459",brown bread,"16","10/9/2011 12:04","8.78","12678.0",Switzerland
"580606","23503",brown bread,"3","10/9/2011 12:20","1.83","",United Kingdom
"542470","23503",brown bread,"2","1/10/2011 11:35","3.48","15587.0",United Kingdom
"545568","23015",brown bread,"6","11/10/2011 10:29","3.23","17262.0",United Kingdom
"574936","21212",brown bread,"22","11/10/2011 10:32","1.56","17614.0",United Kingdom
"557309","21717",brown bread,"11","11/10/2011 12:16","0.81","17556.0",United Kingdom
"573601","23015",brown bread,"21","11/10/2011 12:29","0.57","12624.0",Germany
"575130","23015",brown bread,"2","11/10/2011 12:37","7.95","",United Kingdom
"577795","90024B",brown bread,"4","11/10/2011 12:47","2.67","16227.0",United Kingdom
"552291","23015",brown bread,"1","11/10/2011 13:31","6.51","",United Kingdom
"572286","23015",brown bread,"3","11/10/2011 13:49","3.31","17059.0",United Kingdom
"581118","20678",brown bread,"2","11/10/2011 14:16","15.48","",United Kingdom
"571701","23015",brown bread,"4","11/10/2011 14:26","2.75","14157.0",United Kingdom
"551007","23015",brown bread,"6","11/10/2011 14:29","7.25","16473.0",United Kingdom
"574077","84531A",brown bread,"1","11/10/2011 16:20","7.06","15882.0",United Kingdom
"573195","23503",brown bread,"1","11/10/2011 16:38","3.55","",United Kingdom
"573116","90024B",brown bread,"8","11/10/2011 16:39","2.52","15768.0",United Kingdom
"572287","21717",brown bread,"3","11/10/2011 16:58","3.08","17649.0",United Kingdom
"556463","23015",brown bread,"2","11/10/2011 17:13","2.61","",United Kingdom
"580396","23503",brown bread,"9","11/10/2011 19:49","3.75","",United Kingdom
"572058","23484",brown bread,"26","11/10/2011 9:09","0.84","14832.0",United Kingdom
"540468","90089",brown bread,"2","11/10/2011 9:09","0.86","17763.0",United Kingdom
"572673","23503",brown bread,"1","11/10/2011 9:09","1.55","15786.0",United Kingdom
"580520","90024B",brown bread,"1","11/10/2011 9:59","3.63","14319.0",United Kingdom
"573421","17109D",brown bread,"2","11/11/2011 10:21","8.03","17594.0",United Kingdom
C574095,"23508",brown bread,"2","11/11/2011 10:21","0.65","15952.0",United Kingdom
"572332","84531B",brown bread,"9","11/11/2011 10:21","2.14","14169.0",United Kingdom
"572563","23508",brown bread,"9","11/11/2011 10:32","7.86","14274.0",United Kingdom
"573265","71459",brown bread,"2","11/11/2011 12:44","5.7","15928.0",United Kingdom
"579097","23015",brown bread,"2","11/11/2011 12:44","2.14","",United Kingdom
"541286","90024B",brown bread,"7","11/11/2011 12:52","2.84","14532.0",United Kingdom
"573915","23015",brown bread,"3","11/11/2011 14:03","0.9","18242.0",United Kingdom
"553050","23015",brown bread,"2","11/11/2011 14:03","1.76","18008.0",United Kingdom
